number of cluster: 333
241 : size: 3 :{YOR353C,YKL189W,YHR102W}
242 : size: 3 :{YGR087C,YHR030C,YIL094C}
243 : size: 3 :{YGR003W,YLR306W,YDR139C}
244 : size: 3 :{YHR059W,YLR074C,YDL051W}
245 : size: 3 :{YCL014W,YPR119W,YOR264W}
246 : size: 3 :{YHR014W,YIL007C,YHR185C}
247 : size: 3 :{YBR098W,YDR386W,YFR001W}
248 : size: 3 :{YCR073C,YLR006C,YNL250W}
249 : size: 3 :{YER177W,YDR017C,YPR030W}
250 : size: 3 :{YER133W,YDR028C,YDR412W}
251 : size: 3 :{YLR008C,YLR125W,YDL110C}
252 : size: 3 :{YBR023C,YBL061C,YNL233W}
253 : size: 3 :{YPL124W,YGL075C,YPL255W}
254 : size: 3 :{YPR175W,YNL262W,YDR121W}
255 : size: 3 :{YDL013W,YDL064W,YDR510W}
256 : size: 3 :{YLR116W,YKL012W,YPL105C}
257 : size: 3 :{YGR173W,YKR086W,YDR152W}
258 : size: 3 :{YAL032C,YPL151C,YGL120C}
259 : size: 3 :{YLR453C,YHR215W,YAR071W}
260 : size: 3 :{YDL138W,YDR034C,YDL247W}
261 : size: 3 :{YMR128W,YBR247C,YNL132W}
262 : size: 3 :{YDL022W,YPL022W,YDR334W}
263 : size: 3 :{YGL025C,YOL051W,YDL005C}
264 : size: 3 :{YHR073W,YJL168C,YHR152W}
265 : size: 3 :{YGR060W,YER026C,YLR100W}
266 : size: 3 :{YLR222C,YMR319C,YMR105C}
267 : size: 3 :{YML042W,YJL210W,YDL065C}
268 : size: 3 :{YMR279C,YAR027W,YKR105C}
269 : size: 3 :{YKL113C,YHR164C,YAR007C}
270 : size: 3 :{YLR181C,YPR173C,YMR077C}
271 : size: 3 :{YML067C,YAL042W,YML130C}
272 : size: 3 :{YGR218W,YMR124W,YLL060C}
273 : size: 3 :{YGR181W,YJR135W-A,YNR017W}
274 : size: 3 :{YMR106C,YNL037C,YHR065C}
275 : size: 3 :{YKL004W,YAR023C,YHL048W}
276 : size: 3 :{YLR383W,YLR007W,YOL034W}
277 : size: 3 :{YGR009C,YAL030W,YMR183C}
278 : size: 3 :{YKL139W,YLR403W,YBR169C}
279 : size: 3 :{YDL113C,YJL036W,YDR425W}
280 : size: 3 :{YGL180W,YPR049C,YPR185W}
281 : size: 3 :{YFR031C,YJL074C,YFL008W}
282 : size: 3 :{YOR005C,YCR014C,YGL090W}
283 : size: 3 :{YGL178W,YBL016W,YHR168W}
284 : size: 3 :{YOL139C,YOR276W,YGR162W}
285 : size: 3 :{YDR379W,YBR160W,YML027W}
286 : size: 3 :{YER095W,YDR076W,YGL163C}
287 : size: 3 :{YDL195W,YFR031C-A,YNL112W}
288 : size: 3 :{YMR049C,YLR002C,YER120W}
289 : size: 3 :{YKR024C,YNL175C,YHR082C}
290 : size: 3 :{YOR294W,YPR102C,YKL172W}
291 : size: 3 :{YHL004W,YBR251W,YDR036C}
292 : size: 3 :{YPR056W,YPL122C,YIL143C}
293 : size: 3 :{YMR311C,YOR054C,YDR436W}
294 : size: 3 :{YKL085W,YCR005C,YNR001C}
295 : size: 3 :{YMR219W,YDR227W,YFL007W}
296 : size: 3 :{YGR238C,YKR054C,YHR158C}
297 : size: 3 :{YML064C,YHR112C,YEL015W}
298 : size: 3 :{YNR048W,YJR091C,YLR248W}
299 : size: 3 :{YLR398C,YGL213C,YOR076C}
300 : size: 3 :{YHR044C,YER098W,YDR267C}
301 : size: 3 :{YHR096C,YDL245C,YBR291C}
302 : size: 3 :{YIL144W,YMR117C,YER018C}
303 : size: 3 :{YNL102W,YBL035C,YPR135W}
304 : size: 3 :{YML123C,YDR214W,YDR523C}
305 : size: 3 :{YPR201W,YBR183W,YAL007C}
306 : size: 3 :{YPL232W,YDR164C,YNR049C}
307 : size: 3 :{YDR498C,YGL145W,YOR075W}
308 : size: 3 :{YFL062W,YLR237W,YOR071C}
309 : size: 3 :{YER049W,YGL137W,YGR202C}
310 : size: 3 :{YNL061W,YPL211W,YPL217C}
311 : size: 3 :{YGL249W,YLR394W,YDR285W}
312 : size: 3 :{YBR084W,YBR267W,YGL099W}
313 : size: 3 :{YLL021W,YER149C,YNL271C}
314 : size: 3 :{YNL289W,YPL031C,YHR071W}
315 : size: 3 :{YML016C,YKR072C,YOR329C}
316 : size: 3 :{YKL152C,YHR165C,YML046W}
317 : size: 3 :{YDL081C,YLR287C,YLR340W}
318 : size: 3 :{YDL042C,YDR363W,YOL017W}
319 : size: 3 :{YLR123C,YHR058C,YCL016C}
320 : size: 3 :{YER040W,YNL229C,YJR066W}
321 : size: 3 :{YGL095C,YDR468C,YOL018C}
322 : size: 3 :{YKL117W,YLR216C,YOR027W}
323 : size: 3 :{YAL003W,YPL226W,YKL081W}
324 : size: 3 :{YDR060W,YPL043W,YLR106C}
325 : size: 3 :{YJL159W,YBR064W,YBL044W}
326 : size: 3 :{YDR235W,YOR159C,YPR182W}
327 : size: 3 :{YMR167W,YPL164C,YOR033C}
328 : size: 3 :{YNL023C,YNL135C,YER052C}
329 : size: 3 :{YGR108W,YDL155W,YBR135W}
330 : size: 3 :{YPL093W,YKL014C,YBR142W}
331 : size: 3 :{YLR452C,YJL057C,YML038C}
332 : size: 3 :{YDR078C,YHL006C,YIL152W}
333 : size: 3 :{YNL110C,YHR088W,YMR290C}

